t,s_rel,lambda_pairwise,lambda_with_hyperedge,lambda_gain
3.4629258517034067,1.3129258517034068,0.5439207711619948,0.7249104959029403,0.18098972474094557
3.4749498997995993,1.3249498997995994,0.5422861402436373,0.7212202103519825,0.17893407010834522
3.4869739478957915,1.3369739478957916,0.5406700752224584,0.7175718385207086,0.17690176329825025
3.498997995991984,1.3489979959919842,0.5390723652297327,0.7139649043592644,0.17489253912953176
3.5110220440881763,1.3610220440881764,0.537492801791751,0.7103989372247004,0.17290613543294936
3.5230460921843685,1.3730460921843686,0.5359311788026174,0.7068734718195595,0.17094229301694208
3.535070140280561,1.3850701402805612,0.534387292497357,0.7033880481311655,0.16900075563380854
3.5470941883767533,1.3970941883767534,0.5328609414253267,0.6999422113715978,0.16708126994627112
3.559118236472946,1.409118236472946,0.5313519264239307,0.6965355119183502,0.1651835854944195
3.571142284569138,1.4211422845691382,0.5298600505926325,0.6931675052556628,0.16330745466303034
3.5831663326653307,1.4331663326653308,0.5283851192672628,0.6898377519165202,0.1614526326492573
3.595190380761523,1.445190380761523,0.5269269399946195,0.6865458174253085,0.15961887743068898
3.6072144288577155,1.4572144288577156,0.525485322507355,0.6832912722411236,0.15780594973376857
3.6192384769539077,1.4692384769539077,0.524060078699151,0.6800736917017245,0.15601361300257338
3.6312625250501003,1.4812625250501004,0.5226510226001725,0.6768926559681202,0.15424163336794774
3.6432865731462925,1.4932865731462925,0.5212579703528029,0.6737477499697906,0.15248977961698773
3.655310621242485,1.5053106212424852,0.5198807401876526,0.6706385633505237,0.15075782316287115
3.6673346693386772,1.5173346693386773,0.518519152399843,0.6675646904148747,0.14904553801503156
3.67935871743487,1.52935871743487,0.5171730293255562,0.6645257300752262,0.14735270074967
3.691382765531062,1.5413827655310621,0.5158421953188542,0.6615212857994563,0.14567909048060212
3.7034068136272547,1.5534068136272547,0.5145264767287595,0.6585509655591957,0.14402448883043614
3.715430861723447,1.565430861723447,0.5132257018765968,0.6556143817786756,0.14238867990207885
3.7274549098196395,1.5774549098196395,0.5119397010335921,0.6527111512841561,0.1407714502505641
3.7394789579158316,1.5894789579158317,0.5106683063987256,0.6498408952539281,0.13917258885520245
3.751503006012024,1.6015030060120239,0.5094113520768371,0.6470032391688834,0.13759188709204623
3.7635270541082164,1.6135270541082165,0.5081686740569785,0.6441978127636464,0.13602913870666788
3.7755511022044086,1.6255511022044087,0.5069401101910147,0.6414242499782621,0.13448413978724733
3.787575150300601,1.6375751503006013,0.5057255001724649,0.6386821889104296,0.13295668873796473
3.7995991983967934,1.6495991983967935,0.5045246855155854,0.6359712717682815,0.13144658625269612
3.811623246492986,1.661623246492986,0.5033375095346906,0.6332911448236974,0.12995363528900683
3.823647294589178,1.6736472945891783,0.5021638173237079,0.6306414583661493,0.12847764104244142
3.835671342685371,1.6856713426853709,0.5010034557359646,0.6280218666570692,0.12701841092110452
3.847695390781563,1.697695390781563,0.4998562733642059,0.6254320278847373,0.1255757545205314
3.8597194388777556,1.7097194388777557,0.49872212052083786,0.6228716041196808,0.12414948359884295
3.8717434869739478,1.7217434869739479,0.4976008492183966,0.6203402612705804,0.12273941205218375
3.8837675350701404,1.7337675350701405,0.4964923131502375,0.6178376690406759,0.12134535589043839
3.8957915831663326,1.7457915831663327,0.4953963676714458,0.6153635008846701,0.1199671332132243
3.907815631262525,1.7578156312625253,0.4943128697799619,0.6129174339661183,0.11860456418615645
3.9198396793587174,1.7698396793587174,0.4932416780979231,0.6104991491153056,0.11725747101738249
3.93186372745491,1.78186372745491,0.492182652853215,0.6081083307875985,0.1159256779343835
3.943887775551102,1.7938877755511022,0.49113565586123475,0.6057446670222739,0.11460901116103916
3.9559118236472948,1.8059118236472949,0.4901005505068598,0.6034078494018124,0.11330729889495253
3.967935871743487,1.817935871743487,0.4890772017266218,0.601097573011655,0.11202037128503317
3.979959919839679,1.8299599198396792,0.4880654759910835,0.5988135364004177,0.11074806040933412
3.9919839679358717,1.8419839679358718,0.48706524128741546,0.5965554415405567,0.10949020025314127
4.004008016032064,1.8540080160320644,0.48607636710217034,0.5943229937894815,0.10824662668731115
4.0160320641282565,1.8660320641282566,0.4850987244042534,0.5921159018511084,0.10701717744685502
4.028056112224449,1.8780561122244488,0.4841321856280861,0.5899338777378519,0.10580169210976581
4.040080160320641,1.890080160320641,0.48317662465696076,0.5877766367330468,0.10460001207608607
4.052104208416834,1.902104208416834,0.4822319168065849,0.5856438973537981,0.10341198054721322
4.064128256513026,1.9141282565130262,0.4812979388088118,0.5835353813142521,0.1022374425054403
4.076152304609218,1.9261523046092184,0.4803745687955561,0.5814508134892846,0.10107624469372849
4.0881763527054105,1.9381763527054106,0.4794616862828924,0.5793899218786022,0.09992823559570983
4.1002004008016035,1.9502004008016036,0.47855917215533367,0.5773524375712505,0.09879326541591688
4.112224448897796,1.9622244488977958,0.47766690865028943,0.5753380947105268,0.09767118606023736
