time,node
15.556600,2
15.604400,4
15.616500,4
15.626900,4
15.633800,6
15.638000,0
15.647900,0
15.655100,0
15.669000,0
15.677000,4
15.677700,0
15.682500,1
15.719400,6
15.733300,3
15.740000,3
15.773400,3
15.778300,2
15.782600,2
15.782800,4
15.788200,2
15.794700,4
15.796000,2
15.799200,0
15.809500,5
15.811800,0
15.820700,5
15.829300,4
15.831100,2
15.831700,5
15.833300,0
15.837500,2
15.840800,0
15.843600,4
15.845600,2
15.850600,2
15.860400,0
15.872700,0
15.882600,0
15.902200,0
15.907800,1
15.909300,0
15.911800,6
15.913200,1
15.916300,6
15.918500,1
15.924000,1
15.930800,1
15.951300,1
15.959400,4
15.970300,4
15.980400,4
16.003100,2
16.007700,2
16.072600,6
16.077600,6
16.077800,3
16.080400,4
16.115200,2
16.120000,2
16.121000,0
16.132200,0
16.137800,4
16.160600,2
16.165200,2
16.166500,6
16.170900,0
16.178800,0
16.227500,4
16.236200,4
16.261000,4
16.276300,4
16.305400,0
16.312600,2
16.320200,0
16.325900,2
16.330500,2
16.333900,0
16.350100,0
16.359500,3
16.367400,3
16.380700,3
16.381700,0
16.387000,3
16.402000,3
16.412000,4
16.420300,0
16.424700,4
16.433900,3
16.439300,0
16.445600,0
16.456000,6
16.461400,2
16.463300,0
16.468000,2
16.479300,3
16.509500,2
16.514200,2
16.521100,2
16.531800,0
16.608800,0
16.611800,1
16.614600,2
16.616400,0
16.619700,2
16.622200,0
16.629100,6
16.630900,0
16.640400,0
16.654500,4
16.666800,4
16.679800,4
16.680100,0
16.693600,4
16.694400,0
16.738000,2
16.743700,2
16.766300,1
16.777300,4
16.785600,4
16.794300,0
16.796500,4
16.807800,4
16.818300,1
16.824500,0
16.834700,0
16.850200,5
16.859500,5
16.871900,0
16.879600,0
16.900000,3
16.906500,3
16.920400,1
16.957300,6
16.963200,4
16.974700,4
16.981400,0
16.986300,2
16.987800,4
16.989300,0
16.990600,2
17.003600,4
17.030000,0
17.056500,3
17.062900,3
17.065700,0
17.075100,2
17.079100,2
17.084200,6
17.084300,0
17.088400,6
17.093600,0
17.098200,4
17.102200,0
17.115200,4
17.124200,0
17.133900,0
17.137500,2
17.141500,0
17.142300,2
17.146600,3
17.148200,2
17.152700,6
17.153800,0
17.195000,3
17.207200,1
17.230600,4
17.244100,4
17.249900,2
17.254600,2
17.344900,2
17.349200,2
17.399300,6
17.429900,0
17.430600,4
17.447300,2
17.451800,2
17.457800,4
17.468900,4
17.479400,4
17.491900,3
17.496200,0
17.506000,0
17.512700,0
17.527700,4
17.529100,0
17.540100,3
17.540600,5
17.542400,0
17.545800,3
17.555500,0
17.575700,0
17.632300,2
17.636700,2
17.649500,0
17.656200,0
17.674200,4
17.674700,2
17.675700,0
17.677000,6
17.682700,2
17.687200,4
17.698300,4
17.725100,6
17.730300,6
17.761100,2
17.766300,2
17.793700,2
17.800000,6
17.802100,4
17.808700,0
17.817200,0
17.828900,0
17.837300,0
17.843700,0
17.865200,3
17.877400,0
17.936000,4
17.939600,2
17.944000,2
17.946600,4
17.951100,1
17.957200,4
17.970600,4
17.982300,4
18.034100,2
18.038500,2
18.102700,3
18.106700,0
18.109200,2
18.111900,6
18.114000,2
18.115900,6
18.121900,6
18.126800,0
18.142700,0
18.154200,0
18.169800,0
18.171400,4
18.184100,4
18.184200,0
18.191100,0
18.197100,4
18.198900,0
18.208800,0
18.218400,2
18.218800,0
18.225000,1
18.231000,2
18.233400,0
18.235700,2
18.237000,3
18.240800,2
18.241000,0
18.247600,1
18.256900,5
18.264900,5
18.269000,4
18.272700,5
18.273600,0
18.278800,1
18.297800,6
18.302300,6
18.361700,0
18.375800,0
18.382600,3
18.384100,4
18.387600,0
18.394400,4
18.404100,4
18.412500,6
18.416800,4
18.426000,3
18.429200,4
18.440200,4
18.445300,1
18.454500,0
18.463200,0
18.479700,0
18.487900,0
18.499400,0
18.545200,2
18.548700,2
18.553500,2
18.586200,2
18.637000,0
18.641100,4
18.658600,4
18.670000,0
18.691400,4
18.693900,0
18.702000,4
18.722600,2
18.727200,2
18.767000,6
18.779900,3
18.795800,3
18.801700,2
18.806300,2
18.810200,3
18.817200,3
18.820000,0
18.830100,3
18.837000,0
18.837500,3
18.838700,6
18.843900,0
18.850300,0
18.858000,0
18.858300,3
18.867900,0
18.894700,0
18.897200,3
18.911500,5
18.917800,5
18.921700,1
18.924500,5
18.930800,0
18.933500,5
18.938100,0
18.941400,6
18.960000,0
18.962500,1
18.977200,5
19.028000,4
19.039200,4
19.048600,2
19.053900,4
19.064900,4
19.078700,4
19.082900,6
19.089800,0
19.118200,4
19.121500,0
19.130300,2
19.149200,0
19.160100,0
19.190100,0
19.195400,4
19.196300,2
19.198200,0
19.209800,2
19.237400,6
19.241700,6
19.274800,0
19.333900,4
19.335100,6
19.340500,6
19.341300,0
19.345800,4
19.357700,3
19.370400,4
19.381500,4
19.392100,4
19.428700,2
19.432900,2
19.445000,0
19.461800,0
19.467100,3
19.468500,4
19.479200,0
19.481700,4
19.490800,0
19.493000,4
19.497000,0
19.526900,2
19.527800,6
19.531400,2
19.536000,3
19.561900,0
19.567000,3
19.573600,3
19.586200,3
19.604000,3
19.642400,3
19.645800,6
19.661700,2
19.666200,2
19.680900,6
19.701500,5
19.702200,4
19.714500,5
19.716700,0
19.722100,5
19.723000,4
19.733400,0
19.735000,5
19.735500,3
19.748800,4
19.752200,2
19.757300,2
19.819900,0
19.821600,4
19.828900,0
19.833000,4
19.843900,4
19.855800,0
19.856100,4
19.864900,6
19.866600,0
19.866800,4
19.869800,6
19.891000,0
19.897100,0
19.910400,0
19.918200,4
19.920200,0
19.930500,0
19.938500,0
19.974200,6
19.981900,3
20.011600,6
20.017700,6
20.049300,0
20.075100,1
20.093300,2
20.097400,2
20.121100,3
20.138000,0
20.140700,2
20.145400,2
20.164700,0
20.173900,0
20.181400,0
20.181500,4
20.192700,4
20.205100,4
20.212700,5
20.217300,4
20.266500,4
20.277700,4
20.279700,2
20.320100,2
20.320700,0
20.324300,2
20.369100,3
20.370100,6
20.374200,6
20.375900,3
20.410400,0
20.415800,0
20.439900,0
20.453600,3
20.459200,3
20.466600,3
20.466900,0
20.506000,0
20.511900,6
20.512600,3
20.521500,4
20.526200,2
20.526900,0
20.530700,2
20.533000,0
20.533600,4
20.562600,0
20.562700,4
20.620900,0
20.627500,0
20.650000,0
20.660600,4
20.673300,4
20.683700,4
20.687300,2
20.691200,2
20.695200,4
20.697500,2
20.715000,2
20.721000,4
20.733600,4
20.743000,2
20.744200,6
20.744800,2
20.755300,2
20.788400,4
20.800800,4
20.812700,4
20.825100,4
20.825900,0
20.831400,3
20.835700,0
20.842100,0
20.851300,0
20.890200,0
20.891200,6
20.898000,0
20.907600,0
20.918700,3
20.925700,0
20.950300,0
20.956900,3
20.971600,2
20.991500,2
20.995800,2
21.042900,3
21.064000,0
21.069500,6
21.070500,0
21.079900,0
21.107700,0
21.117800,0
21.123500,4
21.126300,0
21.136800,4
21.146900,4
21.155800,4
21.168500,4
21.181100,4
21.187800,2
21.191700,2
21.196800,2
21.209900,1
21.220100,4
21.220900,5
21.231400,4
21.244600,4
21.267300,0
21.279600,3
21.281300,2
21.284500,5
21.326800,0
21.349800,0
21.351000,3
21.357000,3
21.364200,2
21.370900,2
21.378200,3
21.379000,6
21.384800,3
21.390300,0
21.427500,0
21.435000,0
21.464900,3
21.479200,2
21.480600,6
21.489800,2
21.512200,0
21.522000,0
21.554400,0
21.562400,0
21.569500,4
21.580800,4
21.613300,6
21.617400,6
21.624000,4
21.638100,0
21.647700,0
21.649300,3
21.655600,4
21.657400,2
21.657500,0
21.661900,2
21.665200,6
21.665800,4
21.672400,6
21.672500,0
21.677300,4
21.684100,0
21.690400,4
21.700400,4
21.700500,0
21.741600,2
21.746400,2
21.771300,4
21.783200,4
21.790000,4
21.823700,0
21.826200,2
21.830500,0
21.831100,2
21.869700,0
21.878500,0
21.932500,6
21.937300,6
21.951800,6
